POST,0.23829999999999998,1616078674337
POST,0.2577,1616078674922
POST,0.2519,1616078675678
POST,0.6384,1616079111331
POST,0.2266,1616079156886
POST,0.1982,1616079157418
POST,0.7535,1616079268276
DELETE,0.3402,1616079432897
DELETE,0.2655,1616079440228
DELETE,0.2089,1616079442077
GET,0.2412,1616079648535
GET,0.1746,1616079649068
GET,0.20559999999999998,1616079649780
GET,0.16599999999999998,1616079650561
PUT,0.32849999999999996,1616080305308
POST,0.3729,1616080310639
POST,0.2437,1616080311430
POST,0.1968,1616080312596
POST,0.2198,1616080313423
